"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Тесты на работу с конструктором","0","0","3","0","0"
"","","Тесты на регистрацию","0","0","2","0","0"
"","","Тесты на авторизацию в Яндексе","0","0","4","0","0"
"","","Тесты на авторизацию","0","0","4","0","0"
"","","Тесты на регистрацию в Яндексе","0","0","2","0","0"
"","","Тесты в личном кабинете","0","0","4","0","0"
"","","Тесты на работу с конструктором в Яндексе","0","0","3","0","0"
"","","Тесты в личном кабинете в Яндексе","0","0","4","0","0"
